difficulty,total,iso_count,noniso_count,aggregate_accuracy,iso_accuracy,non_iso_accuracy,class_prediction_ratio,format_compliance,mean_response_length_iso,mean_response_length_non_iso
1,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
2,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
3,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
4,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
5,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
6,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
7,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
8,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
9,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
10,450,300,150,0.3333333333333333,0.0,1.0,1.0,0.0,2.0,2.0
