seed,success,final_outcome,steps,total_reward,format_compliance_rate,fallback_steps,runtime_seconds
0,False,hole,2,0.0,0.0,2,1.685828447341919
1,False,hole,6,0.0,0.0,6,2.5835013389587402
2,False,hole,3,0.0,0.0,3,1.303839921951294
3,False,hole,4,0.0,0.0,4,1.7409114837646484
4,False,hole,3,0.0,0.0,3,1.3023004531860352
5,False,hole,4,0.0,0.0,4,1.7287774085998535
6,False,truncated,100,0.0,0.0,100,44.04519963264465
7,False,hole,6,0.0,0.0,6,2.7401254177093506
8,False,truncated,100,0.0,0.0,100,46.07609295845032
9,False,hole,3,0.0,0.0,3,1.431577444076538
10,False,hole,3,0.0,0.0,3,1.4558444023132324
11,False,hole,3,0.0,0.0,3,1.704908847808838
12,False,hole,2,0.0,0.0,2,0.970999002456665
13,False,hole,4,0.0,0.0,4,1.935817003250122
14,False,truncated,100,0.0,0.0,100,48.93769931793213
15,False,hole,3,0.0,0.0,3,1.4932215213775635
16,False,hole,2,0.0,0.0,2,0.9948296546936035
17,False,hole,1,0.0,0.0,1,0.5053009986877441
18,False,hole,3,0.0,0.0,3,1.4871280193328857
19,False,hole,3,0.0,0.0,3,1.4950876235961914
20,False,hole,2,0.0,0.0,2,0.9941568374633789
21,False,hole,3,0.0,0.0,3,1.4949746131896973
22,False,hole,6,0.0,0.0,6,2.9788339138031006
23,False,hole,2,0.0,0.0,2,0.9972777366638184
24,False,hole,7,0.0,0.0,7,3.4478378295898438
25,False,hole,7,0.0,0.0,7,3.437910318374634
26,False,hole,2,0.0,0.0,2,0.9918444156646729
27,False,hole,2,0.0,0.0,2,0.9952380657196045
28,False,hole,3,0.0,0.0,3,1.4852657318115234
29,False,hole,4,0.0,0.0,4,1.977576732635498
